Datetime,Temperature,Status
2020-11-08 19:57:23.338511,3.39200,Regen
2020-11-08 20:12:23.315437,3.21500,Regen
2020-11-08 20:27:23.309375,3.47200,Regen
2020-11-08 20:42:23.299310,3.71200,Regen
2020-11-08 20:57:23.345285,3.88600,Regen
2020-11-08 21:12:23.299194,4.03600,Regen
2020-11-08 21:27:23.306142,4.14400,Regen
2020-11-08 21:42:23.679349,4.24700,Regen
2020-11-08 21:57:23.667284,4.34400,Regen
2020-11-08 22:12:23.544138,4.43300,Regen
2020-11-08 22:27:23.556089,4.51300,Regen
2020-11-08 22:42:23.312858,4.57700,Regen
2020-11-08 22:57:23.305795,4.63600,Regen
2020-11-08 23:12:23.297732,4.59600,Regen
2020-11-08 23:27:23.348710,4.59600,Regen
2020-11-08 23:42:23.316630,4.59600,Regen
2020-11-08 23:57:23.306565,4.52600,Regen
2020-11-09 00:12:23.315514,4.38500,Regen
2020-11-09 00:27:23.322461,4.26400,Regen
2020-11-09 00:42:23.313397,4.15000,Regen
2020-11-09 00:57:23.305333,4.04600,Regen
2020-11-09 01:12:23.311280,3.95700,Regen
2020-11-09 01:27:23.319228,3.87200,Regen
2020-11-09 01:42:23.326175,3.79400,Regen
2020-11-09 01:57:23.322114,3.72400,Regen
2020-11-09 02:12:23.313051,3.67400,Regen
2020-11-09 02:27:23.321999,3.62800,Regen
2020-11-09 02:42:23.315937,3.59200,Regen
2020-11-09 02:57:23.323885,3.56800,Regen
2020-11-09 03:12:23.316822,3.54500,Regen
2020-11-09 03:27:23.331775,3.52900,Regen
2020-11-09 03:42:23.328716,3.51400,Regen
2020-11-09 03:57:23.316649,3.49800,Regen
2020-11-09 04:12:23.326598,3.21200,Regen
2020-11-09 04:27:23.336548,2.78100,Regen
2020-11-09 04:42:23.339492,2.32400,Regen
2020-11-09 04:57:23.333430,2.03200,Regen
2020-11-09 05:12:23.343379,1.34500,Regen
2020-11-09 05:27:23.337317,0.81700,Regen
2020-11-09 05:42:23.325251,0.79900,Regen
2020-11-09 05:57:23.336201,0.79600,Regen
2020-11-09 06:12:23.324135,0.79400,Regen
2020-11-09 06:27:23.330081,0.79400,Regen
2020-11-09 06:42:23.340031,0.79300,Regen
2020-11-09 06:57:23.329966,0.79300,Regen
2020-11-09 07:12:23.339915,0.79200,Ready
2020-11-09 07:27:23.350865,0.79200,Ready
2020-11-09 07:42:23.338799,0.79200,Ready
2020-11-09 07:57:23.349749,0.79200,Ready
2020-11-09 08:12:23.337683,0.79200,Ready
2020-11-09 08:27:23.346632,0.79100,Ready
2020-11-09 08:42:23.334565,0.79200,Ready
2020-11-09 08:57:23.344515,0.80300,Ready
2020-11-09 09:12:23.354464,0.79200,Ready
2020-11-09 09:27:23.345400,0.79200,Ready
2020-11-09 09:42:23.352347,0.79100,Ready
2020-11-09 09:57:23.345285,0.79200,Ready
2020-11-09 10:12:23.353232,0.80300,Ready
2020-11-09 10:27:23.351173,0.79200,Ready
2020-11-09 10:42:23.352116,0.79200,Ready
2020-11-09 10:57:23.345053,0.79100,Ready
2020-11-09 11:12:23.336990,0.79200,Ready
2020-11-09 11:27:23.359949,0.79400,Ready
2020-11-09 11:42:23.351885,0.79200,Ready
2020-11-09 11:57:23.357832,0.79200,Ready
2020-11-09 12:12:23.350769,0.79200,Ready
2020-11-09 12:27:23.358717,0.79200,Ready
2020-11-09 12:42:23.388680,0.79200,Ready
2020-11-09 12:57:23.359602,0.79200,Ready
2020-11-09 13:12:23.350538,0.79200,Ready
2020-11-09 13:27:23.358486,0.79200,Ready
2020-11-09 13:42:23.367435,0.79200,Ready
2020-11-09 13:57:23.358370,0.79200,Ready
2020-11-09 14:12:23.363317,0.79200,Ready
2020-11-09 14:27:23.360256,0.80800,Ready
2020-11-09 14:42:23.364201,0.79200,Ready
2020-11-09 14:57:23.361142,0.79300,Ready
2020-11-09 15:12:23.365087,0.79200,Ready
2020-11-09 15:27:23.374035,0.79300,Ready
2020-11-09 15:42:23.361969,0.80800,Ready
2020-11-09 15:57:23.405943,0.79200,Ready
2020-11-09 16:12:23.364856,0.79300,Ready
2020-11-09 16:27:23.372804,0.79200,Ready
2020-11-09 16:42:23.379751,0.79300,Ready
2020-11-09 16:57:23.371687,0.79500,Ready
2020-11-09 17:12:23.360622,0.79300,Ready
2020-11-09 17:27:23.371572,0.79300,Ready
2020-11-09 17:42:23.377519,0.79200,Ready
2020-11-09 17:57:23.371456,0.79300,Ready
2020-11-09 18:12:23.378404,0.79300,Ready
2020-11-09 18:27:23.431384,0.79300,Ready
2020-11-09 18:42:23.376287,0.79300,Ready
2020-11-09 18:57:23.390239,0.79200,Ready
2020-11-09 19:12:23.420203,0.95600,Regen
2020-11-09 19:27:23.388122,2.43100,Regen
2020-11-09 19:42:23.393068,3.15500,Regen
2020-11-09 19:57:23.385004,3.39200,Regen
2020-11-09 20:12:23.395955,3.21500,Regen
2020-11-09 20:27:23.383889,3.46800,Regen
2020-11-09 20:42:23.394838,3.69500,Regen
2020-11-09 20:57:23.387776,3.88100,Regen
2020-11-09 21:12:23.375709,4.02600,Regen
2020-11-09 21:27:23.400669,4.14400,Regen
2020-11-09 21:42:23.736852,4.24200,Regen
2020-11-09 21:57:23.678753,4.33800,Regen
2020-11-09 22:12:23.622654,4.42700,Regen
2020-11-09 22:27:23.684640,4.50700,Regen
2020-11-09 22:42:23.406385,4.57700,Regen
2020-11-09 22:57:23.400323,4.63600,Regen
2020-11-09 23:12:23.407270,4.59600,Regen
2020-11-09 23:27:23.402209,4.59600,Regen
2020-11-09 23:42:23.404152,4.59600,Regen
2020-11-09 23:57:23.396089,4.46400,Regen
2020-11-10 00:12:23.406038,4.33300,Regen
2020-11-10 00:27:23.413987,4.20900,Regen
2020-11-10 00:42:23.407924,4.10200,Regen
2020-11-10 00:57:23.418874,4.00100,Regen
2020-11-10 01:12:23.405807,3.91400,Regen
2020-11-10 01:27:23.412755,3.83000,Regen
2020-11-10 01:42:23.407693,3.75900,Regen
2020-11-10 01:57:23.412639,3.69500,Regen
2020-11-10 02:12:23.405576,3.64900,Regen
2020-11-10 02:27:23.415526,3.60800,Regen
2020-11-10 02:42:23.403460,3.57600,Regen
2020-11-10 02:57:23.414410,3.55200,Regen
2020-11-10 03:12:23.401343,3.52900,Regen
2020-11-10 03:27:23.426303,3.51700,Regen
2020-11-10 03:42:23.421241,3.50200,Regen
2020-11-10 03:57:23.427188,3.48700,Regen
2020-11-10 04:12:23.421126,3.22500,Regen
2020-11-10 04:27:23.428073,2.76600,Regen
2020-11-10 04:42:23.418008,2.30900,Regen
2020-11-10 04:57:23.428958,2.02000,Regen
2020-11-10 05:12:23.432904,1.28700,Regen
2020-11-10 05:27:23.424840,0.81500,Regen
2020-11-10 05:42:23.420779,0.79900,Regen
2020-11-10 05:57:23.470757,0.79600,Regen
2020-11-10 06:12:23.419663,0.79400,Regen
2020-11-10 06:27:23.422608,0.79300,Regen
2020-11-10 06:42:23.431556,0.79300,Regen
2020-11-10 06:57:23.426495,0.79300,Regen
2020-11-10 07:12:23.420433,0.79200,Ready
2020-11-10 07:27:23.424378,0.79200,Ready
2020-11-10 07:42:23.431325,0.79400,Ready
2020-11-10 07:57:23.424263,0.79200,Ready
2020-11-10 08:12:23.434212,0.79200,Ready
2020-11-10 08:27:23.425148,0.79100,Ready
2020-11-10 08:42:23.432095,0.79200,Ready
2020-11-10 08:57:23.441044,0.82100,Ready
2020-11-10 09:12:23.432980,0.79200,Ready
2020-11-10 09:27:23.439928,0.79200,Ready
2020-11-10 09:42:23.428862,0.79100,Ready
2020-11-10 09:57:23.436810,0.79200,Ready
2020-11-10 10:12:23.486788,0.79800,Ready
2020-11-10 10:27:23.438696,0.79200,Ready
2020-11-10 10:42:23.426630,0.79200,Ready
2020-11-10 11:01:34.723977,0.79200,Ready
2020-11-10 11:12:23.784769,0.79200,Ready
2020-11-10 11:27:23.640609,0.79300,Ready
2020-11-10 12:05:04.738274,0.79200,Ready
2020-11-10 12:25:00.717343,0.79200,Ready
2020-11-10 12:27:23.621796,0.79200,Ready
2020-11-10 12:42:23.722810,0.79100,Ready
2020-11-10 12:57:23.634690,0.79200,Ready
2020-11-10 13:12:23.683668,0.79200,Ready
2020-11-10 13:27:23.450443,0.79200,Ready
2020-11-10 13:42:23.443381,0.79200,Ready
2020-11-10 13:57:23.450328,0.79100,Ready
2020-11-10 14:12:23.459276,0.79200,Ready
2020-11-10 14:27:23.449212,0.81100,Ready
2020-11-10 14:42:23.459161,0.79200,Ready
2020-11-10 14:57:23.451098,0.79200,Ready
2020-11-10 15:12:23.459046,0.79200,Ready
2020-11-10 15:27:23.511025,0.79200,Ready
2020-11-10 15:42:23.460932,0.80100,Ready
2020-11-10 15:57:23.464877,0.79200,Ready
2020-11-10 16:12:23.458815,0.79200,Ready
2020-11-10 16:27:23.464761,0.79200,Ready
2020-11-10 16:42:23.462702,0.79200,Ready
2020-11-10 16:57:23.464646,0.79400,Ready
2020-11-10 17:12:23.457583,0.79200,Ready
2020-11-10 17:27:23.467532,0.79300,Ready
2020-11-10 17:42:23.472478,0.79200,Ready
2020-11-10 17:57:23.461413,0.79300,Ready
2020-11-10 18:12:23.478367,0.79200,Ready
2020-11-10 18:27:23.464299,0.79300,Ready
2020-11-10 18:42:23.473248,0.79300,Ready
2020-11-10 18:57:23.463183,0.79200,Ready
